frequency_penalty,error_count,api_error_count,success_rate
-2.0,0,20,0.3333333333333333
-1.8,0,0,1.0
-1.6,0,10,0.6666666666666666
-1.4,0,10,0.6666666666666666
-1.2,0,10,0.6666666666666666
-1.0,0,10,0.6666666666666666
-0.8,0,0,1.0
-0.6,0,20,0.3333333333333333
-0.4,0,20,0.3333333333333333
-0.2,0,0,1.0
0.0,0,10,0.6666666666666666
0.2,0,10,0.6666666666666666
0.4,0,20,0.3333333333333333
0.6,0,10,0.6666666666666666
0.8,0,0,1.0
1.0,0,0,1.0
1.2,0,10,0.6666666666666666
1.4,0,0,1.0
1.6,0,10,0.6666666666666666
1.8,0,20,0.3333333333333333
2.0,0,30,0.0
